temperature_bme,temperature_dht,humidity_bme,humidity_dht,pressure_bme,time
18.720266777300274,19.0,25.250191595852858,20.0,885.6697661122397,2024-12-04 11:10:42.446967
18.740301343635657,19.0,23.94037405477994,20.0,885.4888233095508,2024-12-04 11:11:44.385121
18.785379134916003,19.0,23.737062903702206,36.0,885.449509042999,2024-12-04 11:12:46.386834
18.499886854947544,19.0,24.056906222803867,28.0,885.4794205056553,2024-12-04 11:13:48.547411
18.620094015472567,19.0,24.151385995533992,20.0,885.4184760839148,2024-12-04 11:14:51.559320
18.79038777984679,19.0,24.397163112623755,31.0,885.4568179738444,2024-12-04 11:15:53.698945
18.710249495878816,19.0,24.388662619660668,32.0,885.4975109095005,2024-12-04 11:16:55.843304
18.960681880661287,19.0,24.861413615255373,20.0,885.3899466437563,2024-12-04 11:17:57.845451
19.06085503830109,20.0,24.48728145863513,20.0,885.299517970308,2024-12-04 11:18:59.986645
19.15101097971201,20.0,24.69207030382136,20.0,885.2995773529402,2024-12-04 11:20:01.764061
19.21111499303952,20.0,24.13323758210393,20.0,885.2820721155005,2024-12-04 11:21:03.660772
19.226141002919757,20.0,24.001684582814374,33.0,885.2513996307858,2024-12-04 11:22:05.581527
19.29125374266878,20.0,24.17446833634601,31.0,885.2674719277124,2024-12-04 11:23:07.652333
19.21111499303952,20.0,24.10046671158779,31.0,885.1769002050697,2024-12-04 11:24:09.826464
18.880543438368477,20.0,24.083370107372872,31.0,885.1941956357665,2024-12-04 11:25:11.933657
19.090907008294018,19.0,24.267984257888475,29.0,885.1856265989657,2024-12-04 11:26:14.045280
19.286245068634162,20.0,24.682611415687855,20.0,885.1812792903626,2024-12-04 11:27:15.874061
19.406453325791517,20.0,24.859336516592887,20.0,885.198766462822,2024-12-04 11:28:17.970691
19.471566201746462,20.0,24.841040717625173,20.0,885.1884919713032,2024-12-04 11:29:20.160735
19.526661750586936,20.0,24.997895127781746,20.0,885.1109838784229,2024-12-04 11:30:22.247667
19.576748643728205,20.0,25.18771209964414,20.0,885.0524591209701,2024-12-04 11:31:24.384820
19.646870343020417,20.0,25.322344982497622,20.0,885.1283607785497,2024-12-04 11:32:26.472192
19.69695730601088,20.0,25.178812455911647,20.0,885.0434913225881,2024-12-04 11:33:28.822077
19.747044298105173,20.0,25.03524073752065,20.0,885.0112301520878,2024-12-04 11:34:31.001239
19.772087805066256,20.0,25.46093895617065,20.0,885.0477270885314,2024-12-04 11:35:33.184726
19.817166135931622,20.0,25.497947275570912,20.0,885.0871050005243,2024-12-04 11:36:35.268069
19.842209663265386,20.0,25.75420799390382,20.0,884.9920059507233,2024-12-04 11:37:37.197617
19.877270613756263,21.0,25.529075996317307,20.0,884.93781334939,2024-12-04 11:38:39.251859
